event_id,match_id,rally_id,sequence,set,score_home,score_away,team,player,skill,outcome,evaluation,origin_zone,target_zone,timestamp,raw_code
beb01d85-72ac-4634-9428-9f8b9cb36603,6e7eeb39-c0dc-448d-b595-297a3041c17a,4d4b5111-ed72-433d-9da7-a9b8c26f029e,34,1,3,3,1df68542-fd9a-4794-8afb-fd63936ae052,5338990d-a94c-414b-9fbc-bd273efd5aa5,serve,neutral,neutral,,,1789429744888,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #14 serve neutral
72fcc0d6-19e5-4d53-b657-73d63728f1ef,6e7eeb39-c0dc-448d-b595-297a3041c17a,4d4b5111-ed72-433d-9da7-a9b8c26f029e,35,1,3,3,0b69626a-72f0-4763-b9d2-55451002d909,,reception,neutral,neutral,,,1789429748168,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado reception neutral
206d4664-3511-4e8f-b64b-2388649d53e6,6e7eeb39-c0dc-448d-b595-297a3041c17a,4d4b5111-ed72-433d-9da7-a9b8c26f029e,36,1,3,3,0b69626a-72f0-4763-b9d2-55451002d909,,attack,neutral,neutral,,,1789429750074,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 Sem atleta identificado attack neutral
670ce097-fd3f-4da3-b632-b9fd6c10137b,6e7eeb39-c0dc-448d-b595-297a3041c17a,4d4b5111-ed72-433d-9da7-a9b8c26f029e,37,1,3,3,1df68542-fd9a-4794-8afb-fd63936ae052,,dig,neutral,neutral,,,1789429753200,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 Sem atleta identificado dig neutral
317ebde1-890d-4927-b3e3-636fbafc1084,6e7eeb39-c0dc-448d-b595-297a3041c17a,4d4b5111-ed72-433d-9da7-a9b8c26f029e,38,1,3,3,1df68542-fd9a-4794-8afb-fd63936ae052,58f544c9-518f-4c43-9b58-2e710e3dd9d3,attack,error,error,,,1789429781377,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #03 attack error
14d780e1-fba3-4641-8d71-a2e9531a8107,6e7eeb39-c0dc-448d-b595-297a3041c17a,cd26f237-beb2-43c6-9562-7ef9326b305b,41,1,3,4,0b69626a-72f0-4763-b9d2-55451002d909,175252b9-d4c9-4bca-9f45-b463b3672131,serve,ace,excellent,,,1789429787312,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #11 serve excellent
da6bdb16-02a1-4adf-9d81-b5824e0ab59b,6e7eeb39-c0dc-448d-b595-297a3041c17a,9f71cdef-f71a-480e-b414-74db70b25d57,44,1,3,5,0b69626a-72f0-4763-b9d2-55451002d909,175252b9-d4c9-4bca-9f45-b463b3672131,serve,neutral,neutral,,,1789429795965,[VISUAL] 0b69626a-72f0-4763-b9d2-55451002d909 #11 serve neutral
5547c99d-96f4-40c9-a55d-28939d83691f,6e7eeb39-c0dc-448d-b595-297a3041c17a,9f71cdef-f71a-480e-b414-74db70b25d57,45,1,3,5,1df68542-fd9a-4794-8afb-fd63936ae052,,reception,neutral,neutral,,,1789429798184,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 Sem atleta identificado reception neutral
f8d458c4-6462-47da-aa58-212116c6acf3,6e7eeb39-c0dc-448d-b595-297a3041c17a,9f71cdef-f71a-480e-b414-74db70b25d57,46,1,3,5,1df68542-fd9a-4794-8afb-fd63936ae052,74d321c7-d2cd-4467-8755-d401df25fc73,attack,point,excellent,,,1789429807195,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #05 attack excellent
90c5db68-950d-4f81-b05d-492e794efe4a,6e7eeb39-c0dc-448d-b595-297a3041c17a,440bc4c5-5adc-4223-9ffb-63dab6cfa74a,49,1,4,5,1df68542-fd9a-4794-8afb-fd63936ae052,58f544c9-518f-4c43-9b58-2e710e3dd9d3,serve,neutral,neutral,,,1789429825008,[VISUAL] 1df68542-fd9a-4794-8afb-fd63936ae052 #03 serve neutral
